http://www.wisdom.weizmann.ac.il/~oded/rnd.html,Goldreich. Randomized Methods in Computation,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://mitpress.mit.edu/books/handbook-theoretical-computer-science-volume,Handbook of Theoretical Computer Science. Volume A: Algorithms and Complexity,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mitpress.mit.edu/books/handbook-theoretical-computer-science-2-vol-set,Handbook of Theoretical Computer Science. Volume B: Formal Methods and Semantics,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.pearson.com/us/higher-education/product/Graham-Concrete-Mathematics-A-Foundation-for-Computer-Science-2nd-Edition/9780134389981.html,Knuth, Graham & Patashnik. Concrete Mathematics: A Foundation for Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://assets.press.princeton.edu/chapters/gowers/gowers_VIII_6.pdf,Princeton's Companion. Advice to a Young Mathematician,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.researchgate.net/profile/Lance-Fortnow/publication/220530495_A_Short_History_of_Computational_Complexity/links/0deec52bd7ab603fef000000/A-Short-History-of-Computational-Complexity.pdf,Fortnow & Homer. A Short History of Computational Complexity,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.researchgate.net/publication/227171743_Is_Quantum_Mechanics_Falsifiable_A_computational_perspective_on_thefoundations_of_Quantum_Mechanics,Aharonov & Vazirani, Is Quantum Mechanics Falsifiable? A Computational Perspective on the Foundations of Quantum Mechanics,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.maa.org/press/maa-reviews/handbook-of-logic-and-proof-techniques-for-computer-science,Krantz. Handbook of Logic and Proof Techniques for Computer Science,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://academic.oup.com/philmat/article/27/3/381/5613215,Walter Dean. Computational Complexity Theory and the Philosophy of Mathematics,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.jstor.org/stable/40247755,Philip Davis. Toward a Philosophy of Computation,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.wisdom.weizmann.ac.il/~oded/sst.html,Goldreich. Providing Sound Foundations for Cryptography: On the Work of Shafi Goldwasser and Silvio Micali,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.wisdom.weizmann.ac.il/~oded/essays.html,Goldreich. Essays and Opinions,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.lix.polytechnique.fr/~hermann/conf.php,Hermann's Conferences in TCS,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://mitpress.mit.edu/books/turing-novel-about-computation,Papadimitriou. Turing: A Novel About Computation,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mitpress.mit.edu/books/computability,Copeland, Posy & Shagrir (editors). Computability: Turing, Gödel, Church, and Beyond,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cengage.com/c/introduction-to-the-theory-of-computation-3e-sipser/9781133187790/,Sipser. Introduction to Theory of Computation,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Temporarily'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Temporarily
https://onlinelibrary.wiley.com/doi/book/10.1002/0471224642,Zhu & Ko. Problem Solving in Automata, Languages, and Complexity,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.ams.org/books/pcms/010/,Rudich & Wigderson. Computational Complexity Theory,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.youtube.com/watch?v=uX5t8EivCaM,Scott Aaronson 1,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.youtube.com/watch?v=nAMjv0NAESM,Scott Aaronson 2,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://stellar.mit.edu/S/course/6/sp19/6.890/materials.html,Indyk & Daskalakis. Learning-augmented Algorithms. MIT,https://github.com/mostafatouny/awesome-theoretical-computer-science#readme,Theoretical Computer Science error: URLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1018)')) | reason: [SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1018)
