https://bioinformaticsgrx.es/,BioinformaticsGRX,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://git.savannah.gnu.org/gitweb/?p=datamash.git,datamash,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://www.gnu.org/software/datamash,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academic.oup.com/bioinformatics/article/27/12/1691/255399,paper-2011,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.biostars.org/p/63816/,Here,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/software/parallel,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.genome.gov/12514288/current-topics-in-genome-analysis-2016-course-syllabus-handouts-and-videos/,Current Topics in Genome Analysis 2016,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
http://www.ensembl.org/info/docs/tools/vep/index.html,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: TimeoutError('timed out') | reason: 
https://doi.org/10.1093/nar/gkq603,paper-2010,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academic.oup.com/bioinformatics/article/29/23/3003/248468,paper-2013,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://biojs.net/,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: TimeoutError('timed out') | reason: 
https://liacs.leidenuniv.nl/~hoogeboomhj/mcb/nature_primer.html,Educational Papers from Nature Biotechnology and PLoS Computational Biology,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
