http://resources.infosecinstitute.com/top-50-information-security-interview-questions/,Top 50 Information Security Interview Questions for freshers and experts,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.onlineinterviewquestions.com/typescript-interview-questions,Typescript Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
http://www.tutorialspoint.com/android/android_interview_questions.htm,A great list of Android interview questions covering all the aspects of this career,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.interviewbit.com/data-structure-interview-questions/,What is Data Structure? | Top 40 Data Structure Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/python-interview-questions/,Python Interview Questions and Answers (2019),https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://applicature.com/blog/blockchain-interview-questions,Blockchain Developer Interview Questions and Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.tutorialspoint.com/angularjs/angularjs_interview_questions.htm,AngularJS Interview Questions which have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of AngularJS,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://performancejs.com/post/hde6d32/The-Best-Frontend-JavaScript-Interview-Questions-(written-by-a-Frontend-Engineer),The Best Frontend JavaScript Interview Questions (written by a Frontend Engineer),https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)')) | reason: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
https://www.interviewbit.com/data-science-interview-questions/,Top Data Science Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://adevait.com/nodejs/interview-questions,25 Essential Node.js Interview Questions from Adeva,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://blackpixel.com/writing/2013/04/interview-questions-for-ios-and-mac-developers-1.html,Interview Questions for iOS and Mac Developers from the CEO of Black Pixel,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/docker-interview-questions/,Docker Interview Questions & Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.talkingdotnet.com/grunt-js-interview-questions/,Grunt js interview questions for beginners,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.tutorialspoint.com/nodejs/nodejs_interview_questions.htm,Node.JS Interview Questions have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of Node.JS,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.coolinterview.com/type.asp?iType=57,General Oracle Interview Questions & Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.andreasschrade.com/2017/02/23/android-interview-questions/,Android Interview Questions And Answers From Beginner To Advanced,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/networking-interview-questions/,Networking Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.risingstack.com/node-js-interview-questions/,Node.js Interview Questions and Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://m.smartcloud.io/ios-interview-questions-for-senior-developers-in-2017-a94cc81c8205,iOS Interview Questions For Senior Developers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.interviewbit.com/android-interview-questions/,35+ Android Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/devops-interview-questions/,DevOps Interview Questions & Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.tutorialspoint.com/sql/sql_interview_questions.htm,SQL Interview Questions that have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of SQL,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.tutorialspoint.com/javascript/javascript_interview_questions.htm,JavaScript Interview Questions have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of JavaScript,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.interviewbit.com/javascript-interview-questions/,Javascript Interview Questions and Answers (2020),https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/sql-interview-questions/,SQL Interview Questions CHEAT SHEET,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.aperfectmix.com/free_web_design/front-end-interview-questions.html,Front End Developer Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.udacity.com/2014/11/your-top-10-swift-questions-answered.html,Your top 10 Swift questions answered,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cquestions.com/2010/10/c-interview-questions-and-answers.html,Basic C language technical frequently asked interview questions and answers It includes data structures, pointers interview questions and answers for experienced,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.thatjsdude.com/interview/js2.html,JS: Basics and Tricky Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/node-js-interview-questions/,Top Nodejs Interview Questions & Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/ios-os-x-development/50-ios-interview-questions-and-answers-part-3-3fad146b6c3d,50 iOS Interview Questions And Answers Part 3,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.javatpoint.com/memcached-interview-questions-and-answers,Memcached Interview Questions from Javapoint,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.programcreek.com/2012/11/top-10-algorithms-for-coding-interview/,Top 10 Algorithms for Coding Interview,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.javatpoint.com/ionic-interview-questions,45 Ionic Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.maheshbhusanoor.com/article/ionic-interview-questions-answers.html,Most Asked Ionic Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.wisdomjobs.com/e-university/memcached-interview-questions.html,Memcached Interview Questions from Wisdomjobs,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 436: 'status code 436'> | reason: status code 436
https://www.onlineinterviewquestions.com/angular2-interview-questions/,Angular 2 Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
https://pangara.com/blog/blog45-wordpress-interview-questions-and-answers/,Top 45 WordPress interview questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.globalguideline.com/interview_questions/Questions.php?sc=postgresqk_database_,PostgreSQL Interview Preparation Guide,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/angular-interview-questions/,Angular Interview Questions (2020),https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.globalguideline.com/interview_questions/Questions.php?sc=MongoDB,MongoDB frequently Asked Questions by expert members with experience in MongoDB These questions and answers will help you strengthen your technical skills, prepare for the new job test and quickly revise the concepts,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.javatpoint.com/mongodb-interview-questions,MongoDB Interview Questions from JavaTPointcom,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.tutorialspoint.com/mongodb/mongodb_interview_questions.htm,MongoDB Interview Questions that have been designed specially to get you acquainted with the nature of questions you may encounter during your interview for the subject of MongoDB,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.codementor.io/ios/tutorial/ios-interview-tips-questions-answers-objective-c,20 iOS Developer Interview Questions and Answers for getting you ready for your interview,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://fdk.codes/some-java-interview-questions/,Essetial Java Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://pangara.com/blog/php-interview-questions,26 Essential PHP Interview Questions for 2018,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/php-interview-questions/,30+ PHP Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.interviewbit.com/c-interview-questions/,Top C Interview Questions and Answers,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://tylermcginnis.com/react-interview-questions/,React Interview Questions,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://technology.customink.com/blog/2015/11/23/the-art-of-ruby-technical-interviews/,The Art of Ruby Technical Interview,https://github.com/DopplerHQ/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
