https://gmsl.sourceforge.io/,GMSL,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://proprogramming.org/some-unknown-features-or-tricks-in-c-language/,Some unknown features or tricks in C language,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gnu.org/software/adns/,GNU adns,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/licenses/old-licenses/fdl-1.1.html,GNU FDL1.1,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/software/libc/,glibc,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/global/,GNU Global,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/libtool/,Libtool,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/gsasl/,GNU SASL,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/licenses/agpl-3.0.html,GNU AGPLv3,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/software/binutils/,gprof,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mcs.anl.gov/petsc/,PETSc,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://users.jyu.fi/~sapekiis/cheat/,CHEAT,https://github.com/inputsh/awesome-c#readme,C error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.gnu.org/software/libxmi/,libxmi,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://cppinstitute.com/study-resources,C Programming Language Certified Associate preparation course,https://github.com/inputsh/awesome-c#readme,C error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://blogs.oracle.com/linux/8-gdb-tricks-you-should-know-v2,8 gdb tricks you should know,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://software.schmorp.de/pkg/libev.html,libev,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://250bpm.com/blog:56,Advanced metaprogramming in C,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gnu.org/software/indent/,indent,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://fakenmc.github.io/cf4ocl/,cf4ocl,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gnu.org/software/glpk/,GLPK,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/gss/,libgss,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://lwan.ws/,lwan,https://github.com/inputsh/awesome-c#readme,C error: TimeoutError('The read operation timed out') | reason: 
https://dl.acm.org/citation.cfm?id=179241,Expert C Programming: Deep C Secrets,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:BSD-4-Clause,Original BSD,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://sourceforge.net/projects/gjrand/,gjrand,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:X11,X11,https://github.com/inputsh/awesome-c#readme,C error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://www.gnu.org/software/osip/,oSip,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/freeipmi/index.html,GNU FreeIPMI,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://p99.gforge.inria.fr/,P99,https://github.com/inputsh/awesome-c#readme,C error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://hughes.com.au/products/libhttpd/,libhttpd,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
