http://www.publicbooks.org/public-books-database/,Public Books Database,https://github.com/maehr/awesome-digital-history#readme,Digital History error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.historicum.net/home/,historicum.net,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://timetravel.mementoweb.org/,Mementoweb,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://zefys.staatsbibliothek-berlin.de/,Zefys,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.infoclio.ch/en/edition-projects,infoclio.ch Edition projects,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://chroniclingamerica.loc.gov/,Chronicling America,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.bl.uk/catalogues-and-collections/digital-collections,British Library,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://southasiacommons.net/,South Asia Commons,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.lexm.uni-hamburg.de/content/index.xml,LexM,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://gams.uni-graz.at/context:vase,Visual Archive Southeastern Europe,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.e-gs.ethz.ch/,e-gs,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.e-gs.ethz.ch'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.e-gs.ethz.ch'. (_ssl.c:1018)
https://www.e-newspaperarchives.ch/,e-newspaperarchives.ch,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.europeana.eu/,Europeana,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.proquest.com/index,ProQuest,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\n302'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
302
https://www.archivportal-d.de/,Archivportal,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.wdl.org/,World Digital Library,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.bavarikon.de/,Bavarikon,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://anneepolitique.swiss/,Année Politique Suisse,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
