https://www.erlang-solutions.com/blog.html,https://www.erlang-solutions.com/blog.html,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.risingstack.com/,https://blog.risingstack.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.eventbrite.com/engineering/,https://www.eventbrite.com/engineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'NOT FOUND'> | reason: NOT FOUND
https://open.blogs.nytimes.com,https://open.blogs.nytimes.com,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://engblog.nextdoor.com/,https://engblog.nextdoor.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://nordicapis.com/blog/,https://nordicapis.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.sqreen.io/,https://blog.sqreen.io/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://engineering.hashnode.com/,https://engineering.hashnode.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
http://blog.edankwan.com/,http://blog.edankwan.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://engineering.opendns.com/,https://engineering.opendns.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://code.oursky.com/,https://code.oursky.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://gofynd.io/blog,http://gofynd.io/blog,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://bytes.swiggy.com/,https://bytes.swiggy.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://blogs.windows.com/msedgedev/,https://blogs.windows.com/msedgedev/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://engineering.medallia.com/blog/,http://engineering.medallia.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://blogs.msdn.microsoft.com/dotnet/,https://blogs.msdn.microsoft.com/dotnet/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://aarvik.dk/,http://aarvik.dk/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://tech.transferwise.com/,http://tech.transferwise.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.takipi.com/,http://blog.takipi.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
