https://dragonite.itch.io/fps-speedometer-for-gamemaker,FPS Speedometer,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://pixelatedpope.itch.io/scripture,Scripture,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://marketplace.yoyogames.com/assets/9529/gmescapi,GMESCAPI,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dragonite.itch.io/aquila,Aquila,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://avis.itch.io/motion-scripts,Motion Scripts,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://odditica.itch.io/bktglitch,bktGlitch,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://pkgames.itch.io/easy-and-fast-menus-for-gms-23,Easy And Fast Menu,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://gizmo199.itch.io/horri-fi,H O R R I - F I,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://marketplace.yoyogames.com/assets/9526/nekopresence,NekoPresence,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mythloco.co.uk,MythLoco,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: TimeoutError('The read operation timed out') | reason: 
