http://shop.fsf.org/category/books/,Free Software Foundation - books/documentation,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 503: 'Service unavailable'> | reason: Service unavailable
http://shop.fsf.org/product/free-software-free-society-2/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 503: 'Service unavailable'> | reason: Service unavailable
http://book.seaside.st/book,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://shop.fsf.org/product/free-as-in-freedom-2/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 503: 'Service unavailable'> | reason: Service unavailable
https://www.gnu.org/software/emacs/manual/emacs.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/emacs/manual/elisp.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://en.wikipedia.org/wiki/Category:Wikipedia_books_%28community_books%29,Wikipedia books(community books),https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://domenlightenment.com/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: TimeoutError('The read operation timed out') | reason: 
http://docs.writethedocs.org/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://developer.android.com/guide/index.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Temporarily'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Temporarily
http://codingintro.com/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://www.bloomberg.com/graphics/2015-paul-ford-what-is-code/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://diveintohtml5.info/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
