https://www.girldevelopit.com/,Girl Develop It,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: TimeoutError('The read operation timed out') | reason: 
http://www.girlsintech.org/,Girls In Tech,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.codess.net/,Codess,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://womenwhotech.com/,Women Who Tech,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://www.writespeakcode.com/,Write/Speak/Code,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://community.oracle.com/groups/otn-women-in-technology/overview,Oracle Women in Technology,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://oxentimenina.com.br,OxenTIMenina,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: TimeoutError('timed out') | reason: 
http://insideoutproject.xyz/mulheres-palestrantes/,Mulheres Palestrantes,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.womentechmakers.com/,WomenTechmakers,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.womoz.org/blog/,Womoz,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://www.codegirlmovie.com/,Code Girls,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 409: 'Conflict'> | reason: Conflict
http://elaconf.com,Ela Conf,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://www.europeanwomenintech.com,European Women In Technology,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
