https://www.goodreads.com/book/show/6732019-rework,3.93,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/582533.Creative_Visualization,4.13,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/588147.Bulfinch_s_Mythology,4.13,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/12649.Confessions,3.61,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/452114.Passions_Within_Reason,4.34,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.goodreads.com/book/show/3836.Don_Quixote,3.85,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.goodreads.com/book/show/971936.Spycraft,3.81,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/34758228-the-origin-of-others,4.22,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/178734.Summerhill,4.09,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/256008.Lonesome_Dove,4.47,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/2141.In_the_Blink_of_an_Eye,4.24,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/51019.Cat_s_Eye,3.92,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/17978489-the-future-of-the-mind,4.04,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/40121378-atomic-habits,4.32,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/43801612-super-human?ref=nav_sb_ss_3_11,3.86,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/6617037-debt,4.17,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/59145.P_re_Goriot,3.82,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/6425208-wounded-by-school,3.92,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/54493401-project-hail-mary,4.52,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/series/45262-the-kingkiller-chronicle,4.55,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: TimeoutError('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/88552.Rare_Earth,4.06,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/106732.The_User_Illusion,4.30,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,4.24,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/106139.The_Man_Who_Knew_Infinity,4.15,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,4.4,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.goodreads.com/book/show/18736925-capital-in-the-twenty-first-century,4.01,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/6271219-problem-solving-101,4.10,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/9010.I_Hope_They_Serve_Beer_in_Hell,3.51,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.goodreads.com/book/show/8913542-23-things-they-don-t-tell-you-about-capitalism,3.97,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/43582376-the-body,4.31,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/648195.Mind_Children,3.95,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/17333302-grain-brain,3.89,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/10127019-the-lean-startup,4.04,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/3807762-utilitarianism,3.50,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/31138556-homo-deus,4.27,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/37813.Letters_from_the_Earth,4.22,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X,4.29,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/1986400.Mazes_for_the_Mind,4.05,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/1911.The_World_Is_Flat,3.66,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/37875.The_Art_of_the_Start,3.82,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/10016013-harry-potter-and-the-methods-of-rationality,4.38,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/29608.The_Codebreakers,4.18,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/16080353-out-of-control,4.24,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.goodreads.com/series/49784-xeelee-sequence,3.69,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: TimeoutError('The read operation timed out') | reason: 
https://www.goodreads.com/series/49996-sherlock-holmes,4.30,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: TimeoutError('The read operation timed out') | reason: 
