https://www.quandl.com/api/v1/datasets/MOSPI/GDP.json,Gross Domestic Product at Current Prices,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://data.gov.au/geoserver/abc-local-stations/wfs?request=GetFeature&typeName=ckan_d534c0e9_a9bf_487b_ac8f_b7877a09d162&outputFormat=json,ABC Local Stations,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 400: ''> | reason: 
https://think.cs.vt.edu/corgis/datasets/json/airlines/airlines.json,Monthly Airline Delays by Airport, 2003-2016,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://services.faa.gov/airport/status/SFO?format=application/json,SFO,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/LAX?format=application/json,LAX,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/PHX?format=application/json,PHX,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/JFK?format=application/json,JFK,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/ATL?format=application/json,ATL,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://data.gov.au/geoserver/police-station-locations/wfs?request=GetFeature&typeName=762b47b2_e706_4cab_b0c7_cf8e406aefc1&outputFormat=json,VIC Police Station Locations,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: ''> | reason: 
https://data.police.uk/api/crimes-at-location?date=2015-02&lat=52.629729&lng=-1.131592,Crimes at Location,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
http://parliamentdata.ca/,http://parliamentdata.ca/,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://datos.comunidad.madrid/catalogo/dataset/032474a0-bf11-4465-bb92-392052962866/resource/301aed82-339b-4005-ab20-06db41ee7017/download/municipio_comunidad_madrid.json,Province of Madrid Municipalities,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'NOT FOUND'> | reason: NOT FOUND
https://data.nasa.gov/resource/y77d-th95.json,Earth Meteorite Landings,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://data.nasa.gov/resource/2vr3-k9wn.json,Near-Earth Asteroids and Comets,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
